DY
6216
8
mn1;mn2;mn3;mn4;mv1;mv2;mv3;mv4
1769;48.05;282.02;0.06;4.55;55.0;5091.59;0.5;1.0
1770;63.28;228.07;0.04;4.97;81.95;1334.04;0.5;1.01
1771;44.64;308.74;0.08;4.26;63.38;6188.98;0.5;1.02
1772;51.4;450.64;0.08;4.26;55.0;6738.42;0.5;1.0
1773;47.34;270.53;0.05;4.66;50.0;3996.25;0.5;1.0
1774;52.27;429.25;0.05;4.93;55.01;5855.91;0.5;1.0
1775;43.55;392.15;0.05;4.75;63.41;8096.38;0.49;1.08
1776;45.28;357.98;0.08;4.3;63.2;6727.78;0.49;1.05
1777;47.18;185.05;0.06;4.53;55.0;4281.12;0.5;1.0
1778;43.42;179.64;0.06;4.6;49.9;3582.87;0.49;1.06
1779;64.22;168.61;0.03;5.63;71.24;422.16;0.44;1.66
1780;64.91;183.83;0.02;5.57;37.41;2218.51;0.34;2.08
1781;62.91;102.86;0.03;5.46;34.64;1215.03;0.32;2.2
1782;59.35;211.0;0.04;5.01;37.32;2091.25;0.33;1.96
1783;62.91;102.86;0.03;5.46;34.64;1215.03;0.32;2.2
1784;65.04;91.26;0.04;5.05;49.38;1154.29;0.26;3.87
1785;59.99;203.21;0.03;5.26;51.29;2803.55;0.32;2.8
1786;64.53;183.29;0.02;5.58;40.84;2502.56;0.4;1.61
1787;52.67;167.93;0.04;5.0;48.12;1733.95;0.26;3.78
1788;57.91;273.66;0.03;5.39;50.39;2697.26;0.27;3.66
1789;64.66;159.79;0.03;5.62;39.22;1956.28;0.37;1.97
1790;67.01;209.04;0.02;5.61;44.8;2653.51;0.33;2.09
1791;59.55;243.83;0.04;5.15;39.48;2193.95;0.46;1.26
1792;65.04;91.26;0.04;5.05;49.38;1154.29;0.26;3.87
1793;62.24;161.23;0.02;5.68;72.42;416.73;0.26;4.01
1794;64.53;183.29;0.02;5.58;40.84;2502.56;0.4;1.61
1795;64.19;76.9;0.04;5.19;37.43;1142.25;0.41;1.5
1796;58.58;226.14;0.04;5.24;79.17;614.51;0.26;3.83
1797;60.02;104.98;0.05;4.92;39.08;1162.96;0.28;2.94
1798;60.02;104.98;0.05;4.92;39.08;1162.96;0.28;2.94
1799;59.99;203.21;0.03;5.26;48.05;2425.74;0.28;3.08
1800;61.12;85.63;0.04;4.8;47.5;1191.29;0.5;1.0
1801;52.67;167.93;0.04;5.0;52.26;1903.92;0.26;3.58
1802;57.19;188.0;0.06;4.88;66.66;203.73;0.28;3.3
1803;64.19;76.9;0.04;5.19;37.43;1142.25;0.41;1.5
1804;65.16;186.34;0.03;5.34;37.08;1321.08;0.26;3.58
1805;64.16;221.54;0.1;4.22;114.57;1255.42;0.46;2.25
1806;64.62;192.36;0.05;4.84;51.68;2999.45;0.26;3.38
1807;58.05;481.45;0.06;4.58;50.96;3718.49;0.26;3.72
1808;65.86;241.16;0.08;4.22;66.15;386.99;0.02;5.93
1809;59.61;503.6;0.07;4.5;49.58;3454.8;0.26;3.51
1810;65.2;210.51;0.07;4.68;54.83;3584.07;0.26;3.64
1811;55.13;650.96;0.13;3.87;51.13;3857.5;0.27;2.98
1812;64.9;534.35;0.07;4.59;42.24;3563.29;0.26;3.51
1813;63.89;303.46;0.06;4.65;47.88;3407.12;0.28;2.9
1814;62.45;409.5;0.04;4.9;50.4;4419.57;0.31;2.41
1815;63.8;228.05;0.06;4.38;52.04;3786.38;0.3;2.98
1816;67.49;465.22;0.08;4.29;44.41;3706.81;0.27;3.27
1817;66.9;248.53;0.06;4.67;44.84;3153.99;0.27;3.22
1818;53.86;263.06;0.04;4.87;44.28;2640.34;0.26;3.74
1819;63.83;464.23;0.06;4.49;43.55;3339.82;0.26;3.78
1820;56.03;367.51;0.08;4.19;42.08;2640.21;0.32;2.85
1821;65.09;349.71;0.07;4.46;56.98;4656.42;0.3;2.87
1822;67.46;287.71;0.08;4.32;42.75;3058.7;0.26;3.47
1823;60.36;424.54;0.06;4.55;117.78;572.99;0.29;3.15
1824;60.27;418.89;0.06;4.58;49.48;3539.13;0.31;2.49
1825;64.4;394.61;0.06;4.47;50.26;2992.14;0.28;3.12
1826;64.72;280.6;0.05;4.81;54.01;4528.92;0.29;3.05
1827;51.45;490.74;0.12;3.5;45.33;2640.16;0.28;2.71
1828;63.37;261.08;0.06;4.76;50.7;3726.65;0.28;2.87
1829;65.23;281.53;0.07;4.41;47.45;3519.3;0.26;3.81
1830;60.9;754.03;0.13;3.68;30.35;2663.31;0.27;2.93
1831;54.27;330.76;0.05;4.73;38.91;2382.38;0.25;4.0
1832;62.67;377.51;0.05;4.83;48.0;3656.57;0.26;3.89
1833;64.3;319.48;0.04;5.05;49.8;4126.78;0.26;3.5
1834;62.39;719.37;0.06;4.63;45.11;4171.89;0.26;3.46
1835;58.9;469.51;0.05;4.73;44.47;3168.44;0.26;3.6
1836;61.65;253.38;0.06;4.84;46.78;3947.9;0.35;2.11
1837;57.07;389.86;0.06;4.46;50.91;3374.87;0.27;3.15
1838;60.74;302.0;0.06;4.78;53.18;5115.23;0.3;2.97
1839;63.09;316.7;0.12;3.95;39.41;2831.65;0.26;3.42
1840;72.64;141.03;0.04;4.85;103.28;637.13;0.28;2.84
1841;57.15;226.19;0.09;4.08;49.62;1562.0;0.26;3.87
1842;61.94;346.83;0.07;4.48;37.95;3318.37;0.26;3.76
1843;61.86;332.81;0.04;4.94;56.04;5354.65;0.32;2.68
1844;59.13;349.68;0.05;4.81;51.62;2995.38;0.27;2.96
1845;64.19;229.36;0.06;4.63;54.93;3739.9;0.27;3.17
1846;57.15;359.31;0.06;4.74;53.98;3890.8;0.27;3.27
1847;63.98;232.47;0.05;4.74;52.75;3255.93;0.26;3.3
1848;62.25;413.26;0.05;4.74;45.31;2411.1;0.26;3.26
1849;62.84;447.14;0.09;4.18;45.68;4541.94;0.27;3.35
1850;66.84;468.92;0.06;4.6;43.25;2619.13;0.26;3.31
1851;65.13;230.46;0.07;4.5;59.15;5316.36;0.37;1.89
1852;58.35;501.79;0.14;3.27;54.83;3327.17;0.3;2.52
1853;64.87;443.9;0.09;3.94;49.79;4212.0;0.3;2.78
1854;64.72;280.58;0.06;4.58;50.7;4171.67;0.27;2.93
1855;65.64;262.46;0.06;4.61;49.17;3788.76;0.26;3.49
1856;57.07;389.86;0.06;4.46;50.91;3374.87;0.27;3.15
1857;59.26;474.94;0.07;4.45;58.01;3738.78;0.29;2.58
1858;59.36;355.15;0.06;4.65;53.1;3340.99;0.3;2.54
1859;63.49;307.41;0.11;4.06;40.84;3078.76;0.27;3.43
1860;62.54;381.23;0.07;4.62;47.79;3705.6;0.26;3.49
1861;60.89;347.57;0.04;4.89;80.69;829.26;0.02;6.16
1862;56.63;438.86;0.09;3.96;82.42;941.68;0.27;3.07
1863;61.97;244.27;0.05;4.7;46.82;3232.76;0.29;2.68
1864;65.98;267.67;0.05;4.78;44.56;3284.59;0.26;3.65
1865;62.05;237.36;0.06;4.77;51.1;3114.1;0.27;3.21
1866;66.26;540.5;0.11;3.83;54.95;3817.76;0.32;2.47
1867;59.2;518.5;0.09;4.21;55.99;3955.3;0.28;2.89
1868;58.75;459.85;0.07;4.37;46.7;3552.34;0.26;3.66
1869;56.73;435.08;0.06;4.57;48.01;2736.77;0.26;3.52
1870;64.28;302.7;0.05;4.97;82.14;1419.76;0.28;2.91
1871;61.19;310.36;0.06;4.83;54.26;4091.48;0.28;2.98
1872;60.71;255.45;0.07;4.41;50.48;2456.8;0.26;3.54
1873;62.0;622.01;0.09;4.52;50.47;6641.23;0.3;3.08
1874;60.37;267.02;0.06;4.51;52.96;3352.11;0.29;3.18
1875;60.52;400.29;0.08;4.3;88.16;1769.41;0.32;2.73
1876;62.6;609.54;0.06;4.49;51.29;4070.37;0.27;3.06
1877;62.14;626.27;0.05;4.71;46.15;3981.18;0.26;3.59
1878;62.69;375.85;0.05;4.83;48.0;3655.76;0.26;3.89
1879;67.24;487.47;0.08;4.33;63.25;5728.89;0.47;1.28
1880;65.17;316.94;0.06;4.65;80.44;1326.72;0.27;3.07
1881;58.27;429.97;0.07;4.07;38.28;2421.43;0.26;3.84
1882;62.28;361.44;0.08;4.45;42.93;3714.53;0.26;3.89
1883;63.77;377.06;0.08;4.3;74.62;550.85;0.09;4.87
1884;62.03;479.71;0.08;4.37;85.43;695.75;0.1;3.95
1885;55.81;441.11;0.08;4.47;48.69;3840.64;0.26;3.42
1886;63.88;373.67;0.05;4.93;48.79;4097.31;0.27;3.44
1887;59.05;363.06;0.06;4.47;42.89;2801.23;0.26;3.61
1888;60.65;326.01;0.08;4.18;59.66;3646.36;0.42;1.54
1889;66.35;215.01;0.09;4.29;91.62;1958.1;0.17;3.43
1890;66.26;318.04;0.06;4.54;58.61;4663.52;0.31;2.23
1891;63.57;261.3;0.06;4.83;55.71;5049.06;0.33;2.22
1892;61.56;548.25;0.06;4.49;50.81;4983.08;0.3;2.79
1893;64.47;320.26;0.04;5.08;44.71;3159.07;0.27;3.15
1894;63.55;78.45;0.05;4.7;42.81;1158.03;0.27;3.25
1895;64.73;279.97;0.08;4.31;61.43;6195.52;0.39;1.93
1896;65.68;366.11;0.06;4.45;40.29;4167.11;0.26;3.58
1897;61.22;444.8;0.04;5.15;55.32;3579.59;0.27;3.24
1898;61.51;158.26;0.05;4.87;49.95;3142.11;0.49;1.08
1899;65.01;357.7;0.06;4.67;52.41;3623.35;0.26;3.38
1900;67.0;375.38;0.07;4.54;36.32;2343.32;0.26;3.49
1901;54.95;199.68;0.06;4.51;47.96;2219.25;0.26;3.85
1902;62.55;381.09;0.07;4.62;47.79;3714.46;0.26;3.48
1903;64.69;317.53;0.08;4.46;58.84;5154.06;0.32;2.52
1904;61.89;472.29;0.09;4.31;51.01;3898.28;0.27;2.94
1905;60.0;416.67;0.04;5.03;45.32;3752.96;0.25;4.0
1906;61.39;397.42;0.06;4.89;63.51;7504.33;0.5;1.0
1907;66.96;622.63;0.07;4.44;52.87;4248.15;0.28;2.86
1908;53.86;476.33;0.05;4.47;40.3;2808.08;0.26;3.98
1909;60.3;472.01;0.08;4.15;46.09;4109.28;0.27;3.05
1910;60.7;266.55;0.06;4.75;73.64;708.66;0.29;2.95
1911;68.92;350.07;0.04;4.98;47.29;3860.9;0.26;3.71
1912;63.69;151.37;0.04;4.85;45.56;1414.05;0.26;4.01
1913;52.39;807.3;0.15;3.45;58.27;8070.77;0.42;1.86
1914;65.64;262.46;0.06;4.61;49.17;3788.76;0.26;3.49
1915;56.84;439.84;0.05;4.55;47.6;3321.91;0.26;3.62
1916;68.62;523.9;0.05;4.68;90.89;430.86;0.02;5.83
1917;66.2;183.46;0.06;4.72;44.41;1377.78;0.26;3.48
1918;59.25;557.97;0.06;4.44;44.45;3032.16;0.29;2.78
1919;63.46;530.41;0.07;4.39;50.18;3943.35;0.26;3.56
1920;59.85;483.4;0.06;4.9;52.31;4137.44;0.32;2.1
1921;61.12;345.63;0.08;4.48;50.33;3340.21;0.27;3.32
1922;63.5;274.46;0.05;4.79;89.94;1791.75;0.32;2.49
1923;52.91;387.56;0.06;4.46;46.71;3087.24;0.26;3.77
1924;63.28;401.41;0.05;4.56;49.34;4370.7;0.26;3.62
1925;63.16;354.2;0.06;4.64;44.16;3401.91;0.26;3.58
1926;62.56;396.64;0.06;4.64;46.49;2880.45;0.27;3.07
1927;67.27;399.63;0.08;4.3;84.54;1489.32;0.28;2.99
1928;64.47;320.26;0.04;5.08;44.71;3159.07;0.27;3.15
1929;60.4;666.5;0.08;4.48;44.72;4319.91;0.29;2.45
1930;57.59;535.2;0.07;4.61;54.09;4042.93;0.27;3.06
1931;67.24;500.03;0.07;4.41;71.49;719.31;0.28;2.96
1932;64.3;319.48;0.04;5.05;49.8;4126.78;0.26;3.5
1933;68.27;410.46;0.08;4.04;72.35;701.04;0.27;3.05
1934;62.35;504.36;0.09;4.23;46.65;3365.82;0.26;3.74
1935;62.57;242.85;0.11;3.66;47.67;3370.14;0.27;3.54
1936;64.92;240.02;0.06;4.75;53.38;3672.18;0.27;3.2
1937;58.01;248.78;0.05;4.59;56.22;2519.27;0.37;1.64
1938;62.89;381.76;0.08;4.43;50.38;4937.28;0.29;2.84
1939;63.62;324.34;0.06;4.82;56.78;4236.03;0.31;2.38
1940;65.84;275.8;0.06;4.66;52.89;4644.98;0.28;2.92
1941;65.57;474.28;0.08;4.18;46.16;4598.23;0.4;1.95
1942;61.18;547.13;0.06;4.52;52.47;4117.09;0.26;3.58
1943;62.17;166.54;0.05;4.64;48.58;2370.04;0.33;2.03
1944;68.31;291.89;0.08;4.42;42.2;2604.33;0.26;3.59
1945;66.42;290.17;0.05;4.73;48.68;4606.09;0.39;1.71
1946;60.99;396.12;0.08;4.44;53.11;4421.79;0.3;3.0
1947;64.15;314.51;0.06;4.39;59.0;5350.65;0.33;2.05
1948;62.87;252.19;0.04;4.98;50.59;3588.97;0.28;2.95
1949;62.08;381.39;0.05;4.81;50.0;4029.38;0.26;3.79
1950;62.46;121.76;0.08;4.25;46.91;1738.71;0.26;3.39
1951;63.57;293.47;0.05;4.74;44.52;2822.57;0.3;2.33
1952;65.64;262.46;0.06;4.61;49.17;3788.76;0.26;3.49
1953;58.78;348.97;0.06;4.58;40.85;3457.95;0.26;3.71
1954;65.76;358.33;0.07;4.39;73.17;737.95;0.28;2.79
1955;58.74;720.1;0.09;4.29;50.41;5641.64;0.47;1.24
1956;65.01;357.7;0.06;4.67;52.41;3623.4;0.26;3.38
1957;64.73;280.51;0.06;4.58;50.7;4171.92;0.27;2.93
1958;66.35;241.34;0.05;4.91;61.03;4961.23;0.33;2.62
1959;52.65;449.85;0.18;3.45;45.4;2004.22;0.29;2.8
1960;66.97;243.41;0.07;4.34;72.31;641.66;0.28;2.85
1961;64.18;549.45;0.05;4.85;48.77;5166.26;0.26;3.62
1962;63.35;473.17;0.06;4.36;78.12;931.26;0.27;3.42
1963;65.76;358.33;0.07;4.39;73.17;737.95;0.28;2.79
1964;64.39;339.91;0.06;4.68;44.31;4287.62;0.26;3.71
1965;64.9;348.18;0.05;4.59;56.87;5986.6;0.32;2.64
1966;64.78;214.74;0.06;4.71;48.99;3718.22;0.26;3.62
1967;41.47;116.87;0.19;3.2;49.47;1934.14;0.27;3.03
1968;57.03;517.03;0.09;3.84;40.5;4034.68;0.46;1.39
1969;59.26;474.94;0.07;4.45;58.01;3738.78;0.29;2.58
1970;65.04;466.0;0.1;3.98;39.66;3206.41;0.27;3.17
1971;56.07;398.43;0.06;4.47;61.68;4199.32;0.39;1.93
1972;65.02;277.12;0.07;4.52;35.3;2523.91;0.25;4.02
1973;62.27;123.59;0.07;4.61;83.76;228.89;0.01;6.4
1974;59.65;415.91;0.06;4.58;63.46;6147.55;0.5;1.02
1975;57.55;379.38;0.06;4.49;44.44;3815.12;0.28;3.11
1976;61.33;417.51;0.04;5.09;82.19;1838.29;0.26;3.64
1977;62.14;312.59;0.07;4.57;45.42;3420.27;0.28;2.99
1978;61.75;336.76;0.08;4.29;40.28;2322.49;0.26;3.53
1979;62.67;377.51;0.05;4.83;48.0;3656.57;0.26;3.89
1980;67.51;477.24;0.07;4.4;58.66;5476.47;0.35;2.19
1981;59.7;413.96;0.07;4.33;56.44;3900.77;0.32;2.69
1982;62.63;257.64;0.07;4.42;63.49;6170.53;0.5;1.01
1983;62.79;400.47;0.13;3.79;53.8;3411.59;0.28;2.9
1984;62.75;349.69;0.07;4.5;58.47;5086.82;0.31;2.59
1985;59.62;352.08;0.06;4.69;41.3;2490.0;0.26;3.82
1986;67.03;299.95;0.07;4.46;51.08;3275.42;0.26;3.4
1987;51.35;232.65;0.14;3.95;38.11;1859.91;0.26;3.46
1988;63.07;199.14;0.08;4.31;51.41;3086.59;0.35;2.17
1989;61.07;548.71;0.07;4.5;50.23;4136.46;0.26;3.49
1990;61.19;483.26;0.07;4.52;45.44;2889.24;0.26;3.3
1991;61.36;467.39;0.05;4.79;43.03;3517.1;0.26;3.78
1992;64.3;304.25;0.1;4.2;40.87;3077.85;0.27;3.43
1993;63.19;327.36;0.05;4.85;53.79;3932.64;0.28;3.23
1994;63.56;340.15;0.05;5.07;54.93;6098.94;0.27;3.27
1995;61.51;413.91;0.06;4.69;59.72;3931.18;0.3;2.57
1996;58.15;285.93;0.06;4.59;41.33;2611.91;0.26;3.76
1997;57.47;512.77;0.09;3.78;62.64;5656.34;0.47;1.19
1998;57.56;587.91;0.05;4.84;51.4;4242.89;0.26;3.39
1999;63.0;296.2;0.07;4.53;49.4;3407.49;0.27;3.14
2000;58.09;229.22;0.09;4.27;49.83;2504.12;0.27;3.26
2001;64.0;498.79;0.06;4.7;54.26;4174.14;0.27;3.0
2002;59.98;402.9;0.05;4.79;53.05;3286.48;0.27;2.99
2003;55.27;662.3;0.11;3.95;77.22;1056.94;0.29;3.05
2004;56.58;431.48;0.06;4.53;50.24;3067.24;0.29;2.69
2005;65.23;281.53;0.07;4.41;47.45;3519.3;0.26;3.81
2006;56.0;216.34;0.04;4.85;43.09;2148.24;0.28;3.07
2007;58.95;435.59;0.09;4.03;53.38;3354.8;0.29;2.91
2008;63.45;381.96;0.1;4.16;54.11;3901.42;0.28;2.92
2009;62.76;395.74;0.04;4.92;49.32;4195.59;0.26;3.35
2010;61.8;407.91;0.05;4.78;83.37;1293.71;0.27;2.87
2011;59.08;272.8;0.04;4.93;54.01;2343.56;0.28;2.84
2012;64.15;223.18;0.1;3.87;93.27;2235.62;0.4;1.47
2013;66.03;361.8;0.07;4.37;52.06;4713.5;0.28;2.54
2014;63.98;232.5;0.05;4.74;52.75;3255.93;0.26;3.3
2015;65.02;247.53;0.07;4.46;46.61;3994.53;0.27;3.49
2016;59.57;560.8;0.08;4.46;49.26;3663.94;0.32;2.49
2017;62.55;519.52;0.06;4.57;45.21;3280.73;0.26;3.87
2018;63.87;243.28;0.07;4.38;45.21;2760.73;0.26;3.89
2019;63.29;823.62;0.05;4.92;75.77;1088.08;0.31;2.49
2020;63.49;505.99;0.05;4.96;51.26;4011.59;0.27;3.49
2021;58.05;417.75;0.11;4.21;36.0;1833.9;0.26;3.78
2022;63.28;401.38;0.05;4.56;49.34;4370.64;0.26;3.62
2023;55.4;374.74;0.05;4.86;78.02;1055.6;0.27;3.38
2024;61.33;317.74;0.07;4.42;52.46;4458.66;0.28;3.01
2025;64.1;342.99;0.08;4.21;63.49;6436.39;0.5;1.0
2026;58.43;441.45;0.06;4.55;46.93;3859.83;0.26;3.67
2027;63.2;357.98;0.08;4.42;45.19;3944.15;0.28;3.05
2028;64.89;434.83;0.09;4.21;49.85;5668.81;0.27;3.23
2029;64.7;289.76;0.08;4.34;47.73;3758.37;0.28;3.41
2030;61.64;337.1;0.05;4.87;47.17;3014.25;0.26;3.8
2031;67.49;465.22;0.08;4.29;47.98;4045.18;0.27;3.25
2032;56.98;203.15;0.07;4.4;46.5;2453.08;0.26;3.28
2033;60.99;396.12;0.08;4.44;53.11;4421.79;0.3;3.0
2034;61.32;644.72;0.1;4.23;71.7;583.33;0.26;3.77
2035;65.04;221.81;0.07;4.2;52.63;4050.83;0.32;2.75
2036;59.71;474.1;0.09;4.11;77.74;1154.24;0.3;2.82
2037;66.04;354.17;0.06;4.87;48.93;3813.69;0.26;3.45
2038;65.12;704.39;0.07;4.3;49.9;4181.11;0.26;3.41
2039;65.77;295.49;0.06;4.64;50.4;4704.94;0.27;3.41
2040;64.73;353.7;0.05;4.84;44.81;3834.0;0.26;3.71
2041;61.25;351.24;0.05;4.69;49.42;3279.84;0.27;2.91
2042;57.84;550.78;0.08;4.21;43.21;3328.27;0.27;3.19
2043;63.37;270.45;0.06;4.67;41.46;3063.27;0.26;3.75
2044;60.0;416.67;0.04;5.03;77.04;1155.39;0.26;3.56
2045;59.51;528.13;0.06;4.54;46.04;3747.96;0.26;3.58
2046;58.05;608.85;0.08;4.57;74.58;934.53;0.26;3.94
2047;59.61;453.76;0.09;4.15;43.97;3549.59;0.26;3.35
2048;61.84;441.91;0.07;4.31;49.29;3764.47;0.26;3.46
2049;49.42;221.23;0.09;4.12;61.6;1679.06;0.18;3.49
2050;60.97;420.29;0.05;4.85;53.75;5877.81;0.31;2.46
2051;66.15;232.63;0.07;4.36;47.42;3676.33;0.26;3.7
2052;60.88;422.31;0.05;4.87;49.09;3726.22;0.27;3.29
2053;61.06;314.17;0.08;4.42;63.06;4221.94;0.47;1.24
2054;62.32;470.22;0.08;4.34;45.05;3500.71;0.26;3.84
2055;56.99;681.39;0.12;3.87;39.59;3195.0;0.26;3.21
2056;61.93;391.6;0.04;4.86;62.52;6565.21;0.47;1.25
2057;56.47;411.48;0.05;4.69;59.05;4513.93;0.34;2.15
2058;58.54;634.91;0.09;3.89;37.93;2741.0;0.26;3.57
2059;55.46;402.06;0.06;4.57;60.47;4007.45;0.33;2.45
2060;64.94;304.13;0.05;4.74;45.82;3733.05;0.26;3.71
2061;66.76;231.25;0.12;3.98;63.5;6323.88;0.5;1.0
2062;64.16;549.59;0.05;4.85;55.46;6549.11;0.3;3.06
2063;58.8;432.05;0.06;4.74;47.84;3386.04;0.27;3.11
2064;58.36;321.78;0.07;4.39;54.03;3464.74;0.28;2.9
2065;58.04;660.78;0.08;4.37;44.03;3491.83;0.28;2.84
2066;61.65;253.38;0.06;4.84;46.78;3947.9;0.35;2.11
2067;62.57;314.21;0.04;4.92;51.48;4222.41;0.26;3.36
2068;67.22;364.71;0.05;4.87;60.9;6452.23;0.36;1.75
2069;62.45;409.54;0.04;4.9;50.41;4419.38;0.31;2.41
2070;66.53;246.64;0.06;4.81;51.75;4718.51;0.29;2.6
2071;58.36;321.78;0.07;4.39;86.02;1493.46;0.28;2.87
2072;64.6;382.88;0.04;4.87;48.71;3829.08;0.26;3.91
2073;59.85;365.75;0.06;4.54;56.5;4417.9;0.37;2.16
2074;57.77;658.81;0.05;4.8;54.27;5663.66;0.27;3.37
2075;63.24;459.12;0.06;4.49;56.17;4472.05;0.33;2.01
2076;64.35;332.72;0.08;4.22;57.75;4257.54;0.3;2.5
2077;66.14;229.75;0.07;4.37;47.94;3664.02;0.26;3.67
2078;63.82;348.97;0.12;3.86;58.5;5688.02;0.32;2.42
2079;64.3;304.25;0.1;4.2;40.87;3077.85;0.27;3.43
2080;54.54;309.83;0.05;4.64;95.49;3367.75;0.5;1.0
2081;64.41;259.97;0.12;3.97;34.94;2462.86;0.27;3.5
2082;60.85;563.8;0.08;4.38;53.47;4787.54;0.28;2.9
2083;50.86;318.05;0.09;4.1;32.1;2532.19;0.33;1.92
2084;52.12;346.22;0.09;4.28;46.69;2450.87;0.26;3.77
2085;60.37;275.57;0.06;4.47;52.0;4260.45;0.3;3.04
2086;59.93;310.35;0.06;4.44;40.64;3455.81;0.26;3.91
2087;59.83;297.05;0.06;4.46;43.36;3802.76;0.25;3.99
2088;59.02;404.3;0.06;4.42;43.58;4485.46;0.26;3.85
2089;62.81;327.45;0.04;4.78;42.08;3776.14;0.25;4.0
2090;56.33;312.87;0.06;4.48;62.09;4851.93;0.46;1.4
2091;56.43;429.07;0.07;4.12;36.13;2798.98;0.29;3.63
2092;54.55;312.11;0.06;4.4;48.18;3440.16;0.35;1.97
2093;57.48;455.58;0.06;4.57;58.23;3509.46;0.28;2.63
2094;56.33;312.87;0.06;4.48;62.09;4851.93;0.46;1.4
2095;56.31;346.79;0.05;4.65;48.6;3533.77;0.28;3.05
2096;58.93;275.62;0.06;4.51;41.26;2741.68;0.26;3.91
2097;52.44;270.24;0.1;3.91;42.32;2829.49;0.29;2.59
2098;52.87;275.46;0.07;4.41;46.2;2689.32;0.34;1.91
2099;65.92;83.07;0.03;5.36;38.2;757.08;0.26;3.93
2100;54.32;394.33;0.04;5.11;52.93;3491.49;0.33;1.98
2101;54.82;228.02;0.07;4.25;46.27;2005.29;0.33;2.31
2102;58.28;166.09;0.05;4.67;51.15;1840.01;0.32;2.09
2103;54.92;253.83;0.07;4.64;33.55;1264.12;0.26;3.47
2104;60.4;265.92;0.05;4.56;63.5;4437.17;0.5;1.0
2105;53.48;211.83;0.05;4.82;43.79;2040.07;0.26;3.72
2106;56.45;180.92;0.05;4.74;43.13;1410.9;0.25;4.01
2107;55.64;209.47;0.06;4.53;75.29;268.88;0.02;6.32
2108;52.0;361.68;0.09;4.06;58.91;3342.94;0.38;1.98
2109;63.07;598.09;0.07;4.3;41.52;3591.73;0.5;1.01
2110;49.37;264.19;0.05;4.57;37.18;2171.79;0.26;3.3
2111;52.51;257.08;0.06;4.51;53.06;2440.47;0.31;2.46
2112;53.43;466.48;0.07;4.15;48.62;3051.9;0.28;2.96
2113;61.32;452.75;0.08;3.96;35.73;1984.99;0.26;3.32
2114;56.86;316.7;0.05;4.81;49.74;2543.94;0.29;2.56
2115;62.8;529.72;0.08;4.16;54.37;3005.21;0.26;3.65
2116;55.79;330.1;0.11;3.88;48.64;3120.38;0.33;2.17
2117;64.26;297.17;0.08;3.99;48.22;2853.94;0.27;3.14
2118;49.1;392.37;0.07;4.14;59.91;1903.04;0.09;4.54
2119;47.35;163.08;0.07;4.4;48.69;1797.62;0.27;3.34
2120;64.19;310.67;0.06;4.6;76.72;961.7;0.17;3.99
2121;58.7;435.83;0.05;4.44;53.28;3498.98;0.29;2.79
2122;55.4;391.24;0.04;4.84;51.8;3518.08;0.26;3.64
2123;55.64;400.62;0.06;4.53;52.92;3574.65;0.28;2.93
2124;62.4;421.57;0.06;4.6;63.48;4881.97;0.5;1.01
2125;57.49;385.35;0.05;4.53;75.84;841.16;0.32;2.0
2126;70.52;99.29;0.07;4.19;25.0;1120.83;0.5;1.0
2127;48.22;356.37;0.05;4.75;57.12;4449.09;0.34;1.91
2128;61.63;171.29;0.04;4.86;47.7;1718.38;0.33;1.98
2129;53.66;258.35;0.04;4.97;95.35;2206.61;0.48;1.19
2130;48.8;213.68;0.05;4.89;54.99;3998.0;0.39;1.96
2131;56.17;237.64;0.05;4.79;50.0;2894.82;0.5;1.0
2132;49.44;213.59;0.04;4.87;69.75;549.9;0.83;0.45
2133;51.57;279.34;0.05;4.68;78.21;1161.72;0.3;2.87
2134;55.42;264.2;0.06;4.58;94.5;2060.47;0.43;1.4
2135;65.88;152.22;0.05;4.54;24.45;1471.53;0.35;1.79
2136;47.52;310.54;0.15;3.37;63.12;5258.18;0.49;1.09
2137;52.86;298.4;0.11;3.9;106.79;854.52;0.29;2.97
2138;58.19;325.39;0.06;4.64;41.98;1883.58;0.25;4.02
2139;50.9;461.17;0.06;4.71;57.29;4642.29;0.31;2.36
2140;49.36;297.26;0.09;4.34;50.28;2435.42;0.26;3.23
2141;56.61;312.27;0.03;5.2;53.51;3495.76;0.28;3.07
2142;49.06;223.9;0.2;3.03;82.64;651.85;0.32;2.13
2143;60.96;456.07;0.07;4.08;38.49;2182.08;0.25;3.75
2144;56.54;312.43;0.05;4.69;67.41;286.82;0.28;3.62
2145;46.97;276.39;0.12;3.52;58.62;1555.66;0.12;4.42
2146;48.24;320.98;0.11;3.62;49.45;2519.83;0.47;1.22
2147;50.39;455.58;0.1;3.78;48.22;2995.11;0.45;1.38
2148;55.82;336.88;0.11;3.98;50.01;2192.41;0.45;1.29
2149;58.46;430.26;0.06;4.51;56.58;2633.44;0.29;3.06
2150;48.04;206.54;0.12;3.4;50.0;2409.36;0.5;1.0
2151;53.78;467.01;0.06;4.49;95.38;691.01;0.12;3.49
2152;56.79;453.08;0.11;3.6;46.98;2793.5;0.32;2.63
2153;55.38;398.93;0.15;2.86;50.0;2233.27;0.5;1.0
2154;59.75;593.35;0.05;5.0;48.22;3609.12;0.27;3.4
2155;53.96;392.06;0.08;4.25;38.77;2204.96;0.27;3.3
2156;53.22;333.28;0.15;3.07;45.97;1809.16;0.31;2.08
