DY
6216
12
c;cs;d;ds;e;f;fs;g;gs;a;as;b
118;1295;384;750;596;65;265;1920;68;101;28;1489;62
119;135;70;115;0;277;59;141;211;23;208;0;41
120;209;3;110;13;38;22;3;296;0;97;137;25
121;1744;396;729;60;137;56;47;153;87;79;59;16
122;33;24;13;115;0;7;0;4;22;2;26;0
123;334;29;632;2;87;11;305;107;4;122;23;75
124;417;18;419;328;57;142;16;182;279;96;56;31
125;390;40;244;32;94;152;231;116;62;62;71;31
126;31;23;53;0;17;15;3;14;0;66;0;0
127;1923;21;582;277;186;520;586;309;123;1092;664;595
128;684;25;755;575;1510;55;898;799;21;598;318;500
129;563;47;578;1;368;449;404;337;0;324;59;407
130;728;40;426;20;269;181;519;487;75;320;35;138
131;35;266;9;196;10;131;86;21;256;19;129;14
132;160;606;273;494;546;149;1432;42;258;596;72;1208
133;525;518;461;85;218;136;929;121;64;386;138;200
134;345;278;891;32;437;0;902;19;113;499;0;350
135;443;739;443;56;1875;8;427;190;113;963;17;910
136;451;0;561;0;164;34;109;1137;0;198;12;235
137;588;72;528;21;405;79;336;456;79;387;25;297
138;337;228;687;2;488;18;725;20;100;518;0;166
139;971;107;749;53;263;212;82;933;54;266;38;218
140;65;144;42;69;1314;0;138;44;132;189;0;485
141;2086;78;744;10;233;437;570;1017;35;144;38;128
142;176;3;258;300;12;270;27;44;14;18;323;8
143;40;112;226;0;438;24;165;1;15;1043;0;39
144;212;0;48;0;400;4;0;101;0;29;0;1
145;448;79;188;16;38;302;5;205;190;233;131;176
146;715;709;280;190;176;490;665;189;182;130;131;57
147;624;33;742;8;32;19;24;798;2;122;2;27
148;448;79;188;16;38;302;5;205;190;233;131;176
149;551;57;169;0;20;28;0;129;0;13;0;4
150;284;250;470;492;1208;8;1623;19;548;670;35;778
151;196;77;832;24;362;7;81;816;6;490;41;166
152;57;8;1306;0;35;92;98;236;24;515;0;2
153;824;698;1110;3;3335;4;730;46;325;2193;38;456
154;562;118;252;0;555;13;785;17;24;529;8;331
155;180;312;2780;22;431;105;431;76;226;1132;32;224
