DY
6216
12
c;cs;d;ds;e;f;fs;g;gs;a;as;b
1093;1603;218;2150;0;865;22;1266;1625;1252;866;3;894
1094;55;98;300;0;305;2;293;191;2;249;4;317
1095;788;84;302;27;123;48;258;157;300;71;106;18
1096;1196;105;1090;337;152;242;2293;290;21;249;806;140
1097;1724;45;677;68;409;258;1206;247;225;198;51;96
1098;1482;136;494;277;1331;90;320;1340;177;647;746;799
1099;1238;339;1509;136;783;827;46;753;84;406;733;66
1100;998;58;327;21;365;255;563;417;12;152;61;143
1101;564;240;168;246;132;367;56;132;240;6;129;36
1102;463;524;2744;230;1552;40;766;33;575;804;4;799
1103;562;143;456;361;565;182;1398;240;46;922;62;100
1104;1116;619;257;178;431;433;791;416;328;225;280;181
1105;175;278;1572;93;631;4;3460;328;2;722;511;1098
1106;1053;76;1443;49;482;1;1541;308;2;78;0;370
1107;246;1100;150;85;1006;606;584;5;526;408;19;738
1108;756;44;976;51;289;12;215;714;162;209;21;342
1109;328;128;342;172;208;8;335;235;8;262;17;461
1110;346;99;778;108;89;288;485;281;16;275;332;406
1111;1144;814;36;1645;34;304;705;148;757;0;675;409
1112;434;307;1303;19;585;25;447;308;164;491;60;792
1113;377;110;101;33;152;14;57;27;206;92;142;108
1114;144;58;1204;131;135;32;152;438;23;535;0;442
1115;242;292;315;386;408;296;263;103;135;480;192;452
1116;60;797;59;520;1473;16;706;21;153;3;30;1609
1117;227;176;939;3;812;2;985;638;25;566;35;870
1118;440;121;615;26;147;76;343;187;26;402;183;184
1119;801;192;916;550;1;348;1427;220;203;2;326;80
1120;1494;560;454;88;214;663;636;650;37;209;98;229
1121;492;145;1108;6;360;60;479;56;68;728;124;87
1122;491;110;630;527;110;489;576;540;48;121;519;335
1123;624;22;546;0;955;7;262;1426;578;123;0;1027
1124;76;61;465;296;336;0;606;56;6;741;713;75
1125;446;236;266;120;321;116;184;0;91;1030;407;194
1126;593;49;628;0;390;386;264;576;0;128;80;168
1127;548;22;1692;13;734;30;540;1215;446;689;76;428
1128;730;19;896;20;216;593;177;381;5;1941;290;198
1129;451;10;198;4;105;12;5;142;0;18;3;92
1130;465;186;217;11;285;3;1165;0;30;59;4;312
1131;1021;92;439;494;576;314;1254;302;70;350;243;197
1132;1144;814;36;1645;34;304;705;148;757;0;675;409
1133;112;136;183;63;252;0;47;5;6;289;46;278
1134;623;24;329;2;206;4;447;93;6;116;7;88
1135;675;181;778;0;132;1;916;891;19;457;4;448
1136;62;570;616;761;912;22;779;47;430;707;5;1122
1137;798;22;715;24;74;258;808;107;0;52;94;54
1138;1036;196;782;655;331;872;498;894;97;555;535;570
1139;355;0;89;103;13;30;283;135;42;15;1;15
1140;1573;227;591;6;1137;70;1257;1001;510;579;52;498
1141;1213;20;1128;11;398;0;1946;858;29;255;12;539
1142;756;34;261;131;319;227;60;171;86;122;42;295
1143;503;38;385;175;872;0;15;9;1236;328;20;425
1144;487;464;2136;303;1518;304;1121;389;112;1265;111;987
1145;1022;819;346;506;790;501;1081;244;961;316;507;277
1146;8;734;1045;10;709;2;1103;45;132;998;4;1253
1147;769;74;863;7;293;48;1214;121;4;208;3;471
1148;684;274;1419;254;1259;222;1212;673;277;974;185;674
1149;5;147;767;6;57;1;301;4;20;121;2;521
1150;1059;132;628;170;183;583;2066;190;87;334;1077;15
1151;997;33;248;0;127;155;1592;80;56;91;62;9
1152;627;111;147;29;203;387;249;312;5;127;476;10
1153;66;35;544;118;327;22;115;406;3;229;20;545
1154;872;227;697;783;684;1169;3195;89;200;162;172;16
1155;136;632;374;550;944;115;932;8;545;1;82;1810
1156;1811;73;549;326;634;565;900;996;49;542;75;718
1157;212;163;159;155;151;231;673;89;337;387;1325;315
1158;1828;834;2087;47;809;5;1404;18;134;853;516;434
1159;1971;3;1623;0;1281;71;596;888;0;981;1;590
1160;1072;162;348;38;507;243;137;254;75;133;184;230
1161;1579;858;576;659;341;258;247;1088;645;420;592;482
1162;430;196;547;227;57;104;590;61;76;54;82;56
1163;626;44;197;97;174;127;29;218;106;242;4;103
1164;179;292;1139;12;448;39;1269;253;5;694;32;1025
1165;418;73;474;12;257;21;606;48;8;750;713;51
1166;1161;11;255;1;139;544;725;615;0;187;3;75
1167;628;244;2700;825;418;54;2450;344;587;737;375;394
1168;685;296;671;102;390;141;732;628;221;306;167;354
1169;1585;7;922;3;645;26;1044;414;1;232;50;370
1170;282;409;1338;0;1619;16;581;1121;114;1445;0;1776
1171;573;157;503;82;139;163;145;188;4;252;119;397
1172;277;303;351;121;269;42;201;78;158;279;48;198
1173;2110;129;1581;720;755;1030;0;1436;61;844;184;667
1174;3029;30;1189;0;852;322;765;904;4;95;0;122
1175;738;54;899;36;100;574;137;360;0;808;0;230
1176;316;162;1731;59;1217;0;1156;941;22;727;727;1231
1177;2146;44;2071;169;1098;667;1394;1864;4;920;369;1434
1178;629;14;243;17;310;289;77;422;0;275;79;87
1179;177;294;412;1;368;56;280;400;14;118;3;40
1180;2;548;276;4;364;0;1034;35;84;263;8;203
1181;132;280;735;16;343;2;408;459;11;529;40;258
1182;362;1208;127;478;163;294;1754;2;513;22;502;203
1183;165;154;467;8;659;2;632;0;84;115;14;201
1184;372;12;503;0;40;139;189;251;0;2;0;393
1185;481;80;683;72;306;112;320;132;16;310;692;325
1186;453;0;80;116;246;16;0;62;0;58;60;16
1187;1350;424;1314;541;218;2237;191;265;252;1474;674;333
1188;1073;179;1069;771;96;494;137;736;444;33;617;176
1189;173;324;704;41;597;26;100;124;419;814;149;78
1190;335;417;71;291;822;4;997;21;241;38;280;359
1191;199;675;887;60;71;119;112;1;551;14;282;188
1192;171;247;844;28;220;19;538;272;0;238;7;284
1193;119;84;507;148;297;27;233;413;41;351;88;797
1194;748;64;1358;105;158;547;805;325;8;145;495;179
1195;205;0;136;0;76;9;21;198;0;15;0;39
1196;371;130;211;69;289;239;431;96;238;85;111;39
1197;1368;25;803;65;465;468;332;746;13;619;66;365
1198;198;54;1974;114;142;74;720;333;4;206;392;234
1199;642;18;573;259;398;11;495;145;118;192;0;752
1200;708;918;1495;1101;120;733;391;479;1225;115;534;455
1201;676;103;444;398;18;149;695;77;199;12;378;35
1202;1197;214;144;21;310;681;163;171;20;260;391;84
1203;856;142;287;287;67;268;53;172;11;94;315;28
1204;1032;477;31;188;443;0;1531;0;358;100;0;1032
1205;1016;15;965;13;431;322;872;68;0;211;503;5
1206;117;62;207;2;39;36;12;89;154;76;107;7
1207;112;136;183;63;252;0;47;5;6;289;46;202
1208;1246;14;2895;33;528;119;641;396;10;477;2;148
1209;1768;7;1814;5;609;60;1270;1497;0;521;57;400
1210;1000;217;412;239;320;499;851;384;260;140;145;65
1211;499;102;419;522;168;137;32;214;95;105;64;127
1212;1348;99;529;0;280;110;473;300;462;379;7;246
1213;1108;8;1147;36;395;80;272;638;67;358;189;238
1214;304;5;263;68;92;80;49;428;14;152;59;71
1215;1642;22;358;148;635;754;2157;90;0;168;1118;145
1216;766;970;1385;0;190;96;1351;304;63;1687;0;100
1217;645;8;649;4;132;14;303;585;0;314;0;316
1218;480;606;542;137;586;56;826;133;191;340;43;486
1219;778;373;302;132;1449;75;2125;24;533;625;0;1168
1220;425;126;1631;174;207;91;1150;353;3;195;312;299
1221;1062;172;306;41;193;767;161;275;56;226;313;48
1222;426;143;98;79;310;9;931;3;148;123;7;262
1223;749;104;217;148;292;134;8;235;60;41;64;28
1224;919;604;2967;128;1002;184;1618;345;128;1591;113;602
1225;5214;1473;4490;103;2035;3299;4120;2287;2097;2485;111;1703
1226;2055;196;846;38;344;280;397;874;11;298;201;277
1227;1742;42;1824;775;556;44;925;2008;77;553;1127;635
1228;567;72;317;89;307;425;280;400;69;255;75;629
1229;72;619;1524;66;1203;394;1729;2;1244;1082;15;322
1230;736;618;761;485;784;41;1430;6;489;872;23;964
1231;49;21;8;40;22;50;2;11;64;0;18;16
1232;597;262;630;282;323;1030;2756;161;12;77;567;490
1233;223;820;969;12;1020;18;1408;30;297;889;41;616
1234;1453;675;1417;374;1361;40;3175;139;687;989;202;1531
1235;863;641;695;256;361;104;141;274;46;1101;194;255
1236;638;1271;28;645;244;438;1046;2;938;9;679;85
1237;93;1140;41;426;751;380;2;78;815;69;479;193
1238;372;12;503;0;40;139;189;251;0;2;0;393
1239;269;358;659;364;1370;110;1824;65;898;804;62;503
1240;428;441;539;170;487;39;322;6;214;441;0;316
1241;845;51;858;1;174;323;146;696;344;610;8;243
1242;660;0;242;1;291;26;590;285;0;206;1;266
1243;1214;1106;641;495;637;268;187;151;8;97;417;3
1244;1085;25;706;10;553;406;532;219;132;629;117;201
1245;72;296;251;57;910;16;691;0;92;64;64;497
1246;149;169;1164;192;216;82;1846;111;58;207;119;499
1247;116;29;835;0;62;0;799;190;15;246;47;372
1248;38;37;65;6;84;0;38;2;16;54;0;143
1249;1207;196;685;77;125;253;145;451;103;251;163;128
1250;772;181;680;179;725;660;1244;746;2;405;188;1255
1251;1834;574;1293;398;747;1270;109;490;57;696;579;309
1252;1477;140;320;1074;225;288;418;462;209;186;635;341
1253;212;111;1738;79;332;74;1462;760;72;465;91;870
1254;1450;651;1718;48;811;73;1919;38;354;827;62;669
1255;305;696;506;169;2445;12;1811;4;287;1694;2;1330
1256;793;622;607;53;659;141;289;561;876;623;34;385
1257;848;487;903;307;1255;138;236;1655;244;1308;1044;383
1258;168;20;234;0;10;62;149;38;0;49;8;2
1259;1275;61;559;0;27;743;426;70;16;122;63;2
1260;1091;90;911;408;600;97;898;961;49;547;131;548
1261;459;25;1257;210;363;300;2515;253;50;439;129;345
1262;590;190;505;987;76;295;403;110;504;4;590;109
1263;199;33;618;98;108;0;449;255;0;306;38;121
1264;1057;416;358;23;621;343;38;116;4;961;507;105
1265;1140;860;625;309;343;290;362;342;619;762;343;293
1266;460;81;441;48;146;131;280;180;43;131;19;59
1267;804;216;958;194;471;179;1919;213;109;474;275;321
1268;1506;59;657;4;585;535;1228;899;0;684;119;600
1269;1248;58;1134;505;732;1078;457;1022;235;2190;283;81
1270;1907;190;1640;112;381;798;1946;930;8;617;444;252
1271;814;1029;1180;481;856;59;2669;42;430;945;23;453
1272;536;12;906;1;202;90;735;532;1;207;2;604
1273;761;188;93;0;890;31;258;118;360;132;0;124
1274;72;307;350;90;110;55;16;652;56;33;11;910
1275;2023;464;322;147;475;990;762;700;232;367;1231;18
1276;1060;132;630;170;183;595;2065;210;87;341;1071;15
1277;527;104;1084;0;227;10;673;345;0;493;0;157
1278;1143;94;1028;409;300;189;2147;1059;117;149;921;763
1279;865;1048;464;266;616;66;1460;128;1081;589;14;436
1280;1424;446;275;33;150;99;279;853;25;227;189;3
1281;1136;436;608;4;250;517;1061;182;16;364;34;67
1282;1453;675;1417;374;1361;40;3175;139;687;989;202;1531
1283;231;703;2260;0;734;0;944;4;316;523;0;565
1284;151;686;1175;68;783;24;273;59;607;239;3;712
1285;142;80;2151;21;198;160;441;184;5;1189;45;219
1286;914;201;1581;396;661;109;529;822;344;696;32;694
1287;548;24;387;25;9;297;220;59;25;55;111;0
1288;54;431;233;484;348;90;156;0;1731;0;358;453
1289;2341;112;1435;121;535;120;2357;55;153;1893;28;43
1290;996;62;224;185;160;323;495;375;266;239;121;363
1291;1559;84;1006;46;311;47;657;333;132;98;59;137
1292;1077;133;371;0;204;190;354;756;201;237;41;5
1293;419;515;966;369;495;172;411;99;322;887;70;395
1294;1215;80;1532;351;6;354;1068;456;0;173;457;2
1295;1483;625;595;74;368;38;1273;3;219;669;104;1307
1296;193;0;539;76;0;0;39;16;36;6;72;0
1297;3219;80;2029;1150;1849;2285;696;348;465;1812;1532;473
1298;978;5;612;213;99;329;15;364;9;45;89;30
1299;1124;351;827;23;983;170;104;695;1641;662;18;345
1300;642;18;573;259;398;11;495;145;118;192;0;752
1301;1009;422;1388;162;639;941;1090;564;53;1111;809;595
1302;520;326;695;212;493;128;833;296;146;423;984;537
1303;3744;273;560;158;1161;912;414;1016;395;343;360;428
1304;593;49;628;0;390;386;264;576;0;128;80;168
1305;76;521;234;0;19;0;86;169;0;211;1;22
1306;1386;2;587;2;322;17;1120;707;23;334;0;368
1307;1482;136;494;277;1331;90;320;1340;177;647;746;799
1308;723;242;665;1;200;95;1284;49;46;263;0;83
1309;449;713;1689;477;497;14;719;74;478;91;128;806
1310;1122;54;3457;499;9;632;1039;1304;74;312;948;842
1311;27;137;594;60;310;0;729;11;73;398;6;104
1312;1083;387;443;269;211;244;813;334;303;79;54;122
1313;712;17;864;67;164;276;221;570;8;192;188;150
1314;88;988;687;0;555;1044;707;7;1258;1752;71;236
1315;393;323;92;93;725;3;731;8;252;195;285;384
1316;249;659;1925;36;682;1;1949;39;1265;107;1;121
1317;719;237;1130;0;828;84;1458;569;843;548;359;360
1318;536;457;435;41;483;267;703;1199;718;323;499;839
1319;1126;16;477;186;1054;336;49;426;3;311;601;378
1320;707;234;1106;0;826;84;1458;565;843;547;357;358
1321;580;14;3053;7;385;18;94;1120;0;235;1;119
1322;52;402;95;105;427;0;229;0;324;214;0;386
1323;1104;61;1106;73;476;363;794;555;20;781;27;251
1324;439;119;470;391;120;887;149;168;128;946;565;70
1325;357;122;479;16;1164;51;399;18;178;164;9;110
1326;132;65;453;129;870;0;682;2;48;11;36;1245
1327;1083;122;904;748;36;911;1406;744;143;323;947;296
1328;899;43;540;0;72;506;448;15;9;175;2;14
1329;260;28;82;204;0;0;0;0;34;0;0;0
1330;34;29;133;0;154;0;60;279;0;111;0;215
1331;48;6;985;115;162;0;163;131;0;76;22;259
1332;2363;107;1908;155;832;28;1752;3072;21;550;258;1145
1333;2059;77;2330;219;903;1035;76;712;252;1157;1123;70
1334;241;107;1267;653;1178;46;396;270;408;418;635;722
1335;3;103;47;5;79;0;31;177;38;0;0;4
1336;458;63;711;10;231;262;168;310;366;180;84;75
1337;750;41;305;421;359;363;692;409;25;279;280;521
1338;547;155;1207;195;488;134;706;518;139;678;231;338
1339;1354;14;958;13;416;71;1018;641;2;445;367;375
1340;1322;385;479;139;743;193;791;80;107;531;86;254
1341;554;288;135;351;388;150;768;76;294;207;265;267
1342;316;6;148;5;48;319;0;69;13;79;235;0
1343;354;1280;260;780;552;18;1845;2;336;19;218;1583
1344;1288;20;3014;161;853;296;375;755;23;801;47;593
1345;1324;125;657;6;1180;74;1135;797;987;330;118;456
1346;1288;101;297;40;497;889;772;671;16;303;272;84
1347;516;172;439;7;320;3;299;78;0;119;109;374
1348;341;271;966;77;423;21;539;502;1;1819;706;191
1349;136;632;374;550;944;115;932;8;545;1;82;1810
1350;913;42;622;285;342;236;898;696;32;210;270;672
1351;74;506;827;0;539;23;602;21;556;1293;0;633
1352;442;85;1364;91;1648;23;1558;22;64;1001;2589;282
1353;736;32;238;0;208;172;9;381;11;290;8;169
1354;731;432;1157;344;694;155;1665;569;18;1161;251;250
1355;1603;11;971;21;361;559;785;460;4;302;304;36
1356;593;48;874;120;346;94;415;812;89;307;307;1008
1357;1076;0;954;78;388;46;218;336;24;417;0;119
1358;26;29;126;0;114;0;60;201;0;111;0;170
1359;432;66;246;90;240;527;103;425;524;104;651;194
1360;225;294;644;8;108;249;714;307;2;474;79;557
1361;403;33;365;0;175;55;99;54;106;130;2;89
1362;754;77;725;46;107;130;128;88;48;108;60;136
1363;308;408;533;221;470;12;394;8;113;450;0;651
1364;1002;225;561;15;327;528;545;161;1108;123;441;0
1365;780;843;782;10;592;9;974;12;56;1219;11;153
1366;467;1364;870;709;392;597;1689;3;583;222;440;92
1367;635;626;1453;39;2076;35;383;1249;425;1139;24;493
1368;919;274;443;1656;242;770;413;564;965;76;923;586
1369;3217;80;2029;1150;1849;2285;696;348;465;1812;1532;473
1370;305;390;568;13;186;22;537;462;20;589;69;146
1371;750;0;274;12;189;7;70;151;11;5;221;34
1372;1218;19;480;138;508;304;29;438;0;220;1307;97
1373;998;94;520;104;74;132;614;344;54;3;207;0
1374;559;19;168;49;3;357;49;4;269;28;351;0
1375;1706;50;25;771;2;431;508;164;145;9;603;31
1376;406;423;187;261;1321;54;1049;109;348;623;123;1534
1377;223;820;969;12;1020;18;1408;30;297;889;41;616
1378;796;473;340;667;135;337;7;440;1416;20;601;7
1379;147;380;1023;1;734;30;852;185;85;721;0;424
1380;833;30;830;418;91;983;499;241;16;194;504;311
1381;63;772;519;1108;470;16;430;245;284;123;524;382
1382;717;611;139;110;629;51;634;22;335;331;71;329
1383;66;35;546;118;327;22;115;406;3;229;20;545
1384;1478;16;1354;1;750;17;1882;1039;0;159;210;920
1385;1442;117;204;315;494;782;1372;190;130;641;156;5
1386;560;422;1987;645;29;1480;2151;740;382;401;1274;489
1387;869;1071;236;1199;214;1;1189;191;516;2;934;148
1388;360;194;488;480;63;266;185;222;56;108;169;153
1389;113;15;62;3;192;20;32;37;3;115;0;98
1390;744;161;264;14;225;10;882;20;18;261;915;59
1391;587;155;1081;37;294;330;883;443;3;874;88;818
1392;510;27;253;432;73;314;840;163;12;104;769;57
1393;262;392;335;455;683;83;922;93;515;527;49;706
1394;3;103;47;5;79;0;31;177;38;0;0;4
1395;262;924;1417;1;616;57;667;27;222;913;145;698
1396;112;443;604;1227;622;4;730;21;289;250;9;873
1397;429;488;1132;153;1410;1;1766;2;436;681;6;1109
1398;1134;67;442;51;521;367;483;165;130;507;36;161
1399;1325;22;1208;2;358;171;1244;403;2;695;3;152
1400;923;150;1226;34;570;1003;49;565;3;934;522;317
1401;2981;30;1189;0;846;322;765;952;4;95;0;122
1402;2044;71;2104;2;629;533;1306;623;96;635;60;89
1403;146;928;1567;12;806;4;401;30;335;631;6;904
1404;123;332;399;191;425;55;835;6;390;24;110;291
1405;750;909;397;266;596;66;1446;116;1084;522;14;424
1406;264;0;169;0;265;33;28;234;15;9;0;269
1407;260;11;204;10;73;6;64;100;20;22;14;37
1408;788;40;592;217;219;737;739;410;1;354;630;219
1409;232;504;1667;0;81;36;1701;15;18;484;15;328
1410;300;79;158;186;65;64;64;145;0;145;8;371
1411;401;352;683;53;588;13;1162;513;240;574;174;700
1412;611;849;1508;242;0;939;648;87;13;83;733;35
1413;482;71;1167;35;198;219;534;220;17;208;200;319
1414;709;0;335;0;168;55;0;209;0;93;0;3
1415;1399;117;1609;0;762;39;1663;788;335;525;8;975
1416;121;409;411;246;460;30;542;60;323;353;353;577
1417;529;497;2186;31;370;196;1265;120;182;512;137;1170
1418;1768;21;340;148;764;875;2095;90;0;168;1139;145
1419;1079;286;424;337;288;649;101;365;88;267;596;66
1420;79;174;562;1187;387;48;579;187;99;340;37;986
1421;908;255;797;0;1065;75;266;70;206;430;0;338
1422;190;508;926;3;1746;19;666;48;277;405;17;227
1423;2028;280;1080;351;1259;749;547;848;9;276;1160;511
1424;655;74;746;69;62;372;1471;159;162;149;128;261
1425;1009;70;454;385;453;587;288;552;19;307;52;205
1426;459;25;1257;210;363;300;2515;253;50;439;129;345
1427;531;7;518;259;0;66;306;193;221;14;355;6
1428;277;785;1951;26;1396;56;757;34;327;2194;625;878
1429;86;172;204;17;300;10;261;75;162;114;23;352
1430;94;14;38;148;9;134;2;39;7;20;118;0
1431;74;127;368;51;286;55;601;128;68;167;31;890
1432;544;500;565;13;1379;7;230;426;635;265;77;372
1433;437;208;751;35;249;14;961;352;20;195;9;625
1434;202;68;176;206;78;167;56;150;20;11;144;49
1435;124;363;1311;359;733;3;1019;203;163;995;0;1115
1436;793;595;1057;450;437;382;1201;37;143;450;984;230
1437;150;191;465;1;212;12;736;38;1;305;294;211
1438;67;568;90;12;187;0;59;0;10;138;0;72
1439;655;3;2539;556;0;714;22;333;90;981;976;10
1440;1198;4;83;155;158;506;0;628;0;181;1139;118
1441;998;58;327;21;365;255;563;417;12;152;61;143
1442;262;435;792;76;507;27;1031;404;344;705;24;655
1443;691;307;1460;47;264;16;1232;408;111;629;111;391
1444;1321;773;1334;166;250;832;152;607;84;534;552;119
1445;1050;825;336;1;483;155;389;754;126;193;124;198
1446;80;1833;1169;91;626;32;1302;15;760;65;0;307
1447;1897;27;951;0;833;198;1303;125;54;412;94;82
1448;535;63;793;85;132;641;18;229;50;346;1409;20
1449;379;1350;1275;313;940;201;1418;142;288;304;831;416
1450;1022;573;3485;848;932;137;1857;657;407;2460;741;872
1451;742;199;819;31;279;14;1130;388;278;883;94;529
1452;1068;0;735;0;218;36;317;484;0;183;9;132
1453;222;2;98;6;4;38;0;155;0;0;4;10
1454;1689;78;1020;377;943;652;183;1580;9;505;430;700
1455;854;130;483;1140;2;398;281;253;338;28;630;9
1456;1646;97;894;73;1132;1037;322;1073;37;895;334;867
1457;355;347;45;114;381;14;264;51;710;40;375;215
1458;1443;330;135;272;274;231;1133;424;615;116;138;163
1459;544;500;565;13;1379;7;230;426;635;265;77;372
1460;24;388;608;138;262;26;766;43;268;178;39;682
1461;2237;144;476;159;179;486;296;374;44;140;67;827
1462;835;728;2748;346;1874;19;2364;1424;166;1519;2;1513
1463;1524;284;209;946;13;203;1058;103;335;27;106;214
1464;173;542;77;54;649;5;32;4;779;80;2;210
1465;1044;133;1134;48;600;236;158;198;19;383;46;353
1466;1511;332;1285;54;562;117;1176;480;41;602;253;321
1467;1948;168;260;30;210;457;290;271;45;132;231;23
1468;72;307;350;90;110;55;16;652;56;33;12;911
1469;884;140;867;2;662;1;1253;320;30;474;100;437
1470;264;924;1417;1;616;57;667;27;222;913;145;698
1471;1382;55;618;203;905;1;804;464;6;358;1022;1030
1472;596;0;16;16;23;150;0;75;0;35;344;0
1473;285;202;940;123;521;14;443;10;159;417;22;414
1474;917;111;1209;0;467;23;1664;483;348;327;4;649
1475;602;552;1023;181;204;123;614;228;38;548;286;217
1476;216;538;14;100;21;472;901;20;382;0;552;22
1477;292;1224;249;1378;175;157;1563;0;746;39;551;743
1478;100;18;32;1;256;2;7;16;7;162;0;119
1479;952;130;2173;0;764;2;1382;1174;0;776;6;1600
1480;1768;21;340;148;764;875;2095;90;0;168;1139;145
1481;494;298;1817;8;487;21;455;404;92;680;14;484
1482;378;15;23;463;34;10;10;23;232;6;427;4
1483;726;919;451;271;494;289;355;12;939;453;60;182
1484;821;35;343;0;104;121;357;46;7;130;76;11
1485;609;207;659;0;629;415;501;38;118;449;33;240
1486;706;485;1023;5;698;131;147;461;39;182;7;269
1487;813;249;832;132;63;212;1550;396;240;54;197;37
1488;151;604;1025;119;395;23;1330;32;1673;350;1800;405
1489;779;422;904;497;391;155;1411;51;134;350;941;164
1490;1288;20;3014;161;853;296;375;755;23;801;47;593
1491;393;186;158;206;402;105;511;15;124;414;145;748
1492;2325;759;776;25;437;780;21;831;246;72;19;2
1493;221;179;269;255;310;24;1510;4;116;27;179;832
1494;629;132;77;202;598;433;435;177;406;30;533;452
1495;464;16;859;5;111;20;140;495;0;93;0;56
1496;461;124;46;237;46;514;114;92;8;75;232;306
1497;929;40;1159;55;1335;95;542;725;0;579;586;1035
1498;529;324;236;239;205;127;884;46;279;208;109;435
1499;558;108;540;284;483;151;1530;1273;1;101;1327;658
1500;1226;39;501;11;343;312;406;332;2;488;64;378
1501;305;33;89;31;159;30;8;178;15;92;15;33
1502;1257;76;615;290;309;515;2219;230;21;186;667;123
1503;233;664;675;14;360;13;977;0;689;515;4;199
1504;743;170;823;99;651;25;523;496;353;392;71;303
1505;644;8;655;4;131;14;308;590;0;319;0;323
1506;2034;32;1613;172;493;852;1478;1048;9;970;1529;342
1507;511;83;760;1;235;27;199;470;20;399;32;198
1508;1000;217;578;179;45;182;565;171;6;278;328;6
1509;759;60;449;226;244;527;631;162;0;198;799;433
1510;259;373;414;325;547;34;1260;9;639;6;320;876
1511;408;194;71;15;75;270;0;235;211;78;24;36
1512;406;281;617;224;94;100;409;4;386;21;204;298
1513;1083;387;443;269;211;244;813;334;303;79;54;122
1514;766;183;1193;6;134;0;475;88;225;757;0;80
1515;273;4;297;0;375;3;227;288;0;94;0;340
1516;397;0;495;0;271;14;12;191;14;1047;0;122
1517;191;422;1059;207;362;112;864;512;4;532;223;395
1518;273;4;297;0;375;3;227;288;0;94;0;340
1519;1174;625;702;278;557;86;1263;185;1009;499;73;631
1520;1102;432;1168;892;4;624;1798;408;38;43;1063;56
1521;342;3;100;1;2;80;22;69;0;34;2;4
1522;114;293;316;78;252;22;106;108;373;206;108;212
1523;2106;569;557;186;664;2397;1250;883;265;870;1162;85
1524;72;619;1524;66;1203;394;1729;2;1244;1082;15;322
1525;806;622;782;0;1315;83;3304;15;113;615;0;184
1526;925;28;409;3;233;196;493;124;76;194;26;189
1527;5;8;597;0;6;13;8;379;0;136;0;4
1528;671;606;472;366;449;2;1684;22;1363;11;260;503
1529;1334;132;397;191;444;497;212;1121;390;390;313;238
1530;1685;62;193;247;286;400;792;345;48;168;278;74
1531;1151;105;617;143;61;342;1129;833;72;545;448;49
1532;1031;10;1309;1;886;350;596;350;0;1229;49;798
1533;1316;5;819;31;310;128;295;630;9;136;115;340
1534;851;309;2216;80;489;101;1353;910;82;830;323;611
1535;169;358;451;8;465;70;403;18;131;1213;41;380
1536;5;147;767;6;57;1;301;4;20;121;2;521
1537;1798;40;941;10;353;412;286;271;57;4;0;16
1538;516;54;281;667;6;69;878;125;795;2;692;5
1539;439;42;494;187;148;79;784;461;7;357;369;408
1540;133;841;1869;12;424;424;1485;10;3;877;7;363
1541;16;216;354;134;31;44;851;4;177;0;161;106
1542;40;212;346;223;547;1;591;42;312;380;409;931
1543;22;17;178;6;111;0;77;123;15;49;19;48
1544;694;77;88;49;412;27;298;94;105;109;5;225
1545;383;268;131;215;815;12;183;41;163;183;484;1087
1546;423;14;148;0;82;88;4;87;8;34;12;40
1547;1195;875;787;466;802;300;1635;26;608;1005;43;935
1548;367;356;761;0;338;15;397;185;129;331;15;369
1549;1016;4;276;71;368;149;520;97;3;314;79;261
1550;541;162;844;106;276;587;641;283;46;486;380;132
1551;2942;243;842;679;459;769;45;751;78;383;145;234
1552;630;383;75;338;771;329;2030;33;552;169;108;1011
1553;370;464;872;228;623;51;607;53;315;209;77;425
1554;15;136;282;28;352;2;568;5;23;360;105;193
1555;1002;703;572;205;259;255;736;430;7;368;119;270
1556;904;29;186;54;101;421;422;427;15;47;2;81
1557;369;347;743;70;342;50;1865;64;126;353;59;223
1558;863;154;1003;51;952;256;317;882;368;321;354;1000
1559;599;700;811;341;998;10;156;368;50;1406;299;264
1560;559;719;369;851;1366;168;438;14;386;86;2;1352
1561;276;8;170;0;20;177;0;197;0;29;16;8
1562;794;88;746;176;109;26;212;869;28;116;151;128
1563;998;164;339;139;752;656;0;785;141;300;635;422
1564;496;275;1236;232;445;1;1339;805;463;541;0;1058
1565;662;5;558;0;31;41;133;274;0;28;0;10
1566;76;61;465;296;336;0;606;56;6;741;713;75
1567;731;432;1157;344;694;155;1665;569;18;1161;251;250
1568;983;150;386;222;696;258;246;499;513;2567;349;247
1569;571;649;198;37;2055;9;506;76;942;734;9;536
1570;1300;686;422;343;257;313;737;331;232;231;243;220
1571;1115;768;4126;444;946;201;3903;1433;36;1681;179;1583
1572;738;233;1181;18;366;21;861;300;0;640;84;495
1573;1600;88;597;145;42;752;1367;895;18;254;830;33
1574;276;8;170;0;20;177;0;197;0;29;16;8
1575;1500;731;1162;880;679;238;844;622;202;266;414;492
1576;1214;396;1601;3;206;382;1263;496;10;1326;76;337
1577;141;269;79;22;333;31;95;9;265;169;6;151
1578;668;95;434;215;688;24;362;623;61;316;65;699
1579;2618;1362;166;582;129;282;924;1;442;11;543;581
1580;1737;22;1357;0;485;53;294;1806;0;711;0;691
1581;986;23;882;9;273;14;1707;730;12;159;676;467
1582;560;3;460;3;218;4;72;51;4;50;2;247
1583;521;210;459;644;454;232;527;883;47;296;715;737
1584;664;186;1304;31;262;242;1067;337;184;385;9;516
